Date (日期),Ticker (股票代码),Name (名称),Type (类型),Volume (成交量),Signal Strength,Direction (方向),ML_Prob,ML_Detail,Pattern (形态),Daily_J,Weekly_J,Price,ATR,Stop_Loss (止损),Suggested_Shares (建议股数),Position_Size (建议仓位$)
2026-04-16,SPY,标普500指数ETF,Index ETF,43439751,Strong + Div,Short,18.8%,XGB:0.03|LGB:0.16|LR:0.38|N:333|Base:0.20,Doji (十字星),105.45,95.4,701.66,9.15,719.96,27,18944
2026-04-16,AMZN,亚马逊,Stock,41687942,Strong + Div,Short,46.5%,XGB:0.63|LGB:0.71|LR:0.85|N:333|Base:0.36,"Doji (十字星), Doji (十字星)",99.03,103.74,249.7,6.6,262.9,37,9238
2026-04-16,CRWV,,Stock,28826632,Strong + Div,Short,28.3%,XGB:0.13|LGB:0.20|LR:0.23|N:230|Base:0.31,Hanging Man (吊颈线),102.94,102.21,119.56,7.63,134.82,32,3825
2026-04-16,META,元宇宙(Facebook),Stock,8876437,Strong + Div,Short,35.1%,XGB:0.35|LGB:0.27|LR:0.32|N:333|Base:0.37,Doji (十字星),108.02,94.95,676.87,20.37,717.61,12,8122
2026-04-16,MSFT,微软,Stock,41060589,Strong,Short,34.0%,XGB:0.05|LGB:0.06|LR:0.53|N:333|Base:0.34,Doji (十字星),112.33,83.8,420.26,9.81,439.88,25,10506
2026-04-16,NVDA,英伟达,Stock,133187482,Strong,Short,28.8%,XGB:0.18|LGB:0.25|LR:0.37|N:333|Base:0.31,Doji (十字星),101.76,91.38,198.35,5.27,208.89,47,9322
2026-04-15,IWM,罗素2000指数ETF,Index ETF,21590055,Strong + Div,Short,38.0%,XGB:0.68|LGB:0.69|LR:0.36|N:330|Base:0.33,"Doji (十字星), Doji (十字星)",106.97,94.49,269.39,5.15,279.69,48,12930
2026-04-15,SOXL,半导体3倍做多ETF,Index ETF,67435854,Strong + Div,Short,46.1%,XGB:0.82|LGB:0.76|LR:0.83|N:331|Base:0.32,Hanging Man (吊颈线),109.69,100.88,85.96,5.93,97.82,42,3610
2026-04-15,SPY,标普500指数ETF,Index ETF,57435208,Strong + Div,Short,23.6%,XGB:0.23|LGB:0.31|LR:0.46|N:332|Base:0.20,Doji (十字星),108.68,96.21,699.94,9.53,719.0,26,18198
2026-04-15,AMZN,亚马逊,Stock,42574235,Strong,Short,49.1%,XGB:0.74|LGB:0.82|LR:0.87|N:332|Base:0.36,Doji (十字星),100.34,102.08,248.5,6.66,261.82,37,9194
2026-04-15,CRWV,,Stock,42867755,Strong + Div,Short,28.9%,XGB:0.15|LGB:0.19|LR:0.33|N:229|Base:0.31,Hanging Man (吊颈线),104.81,101.95,118.69,7.66,134.01,32,3798
